,Subscriber Id_x,seasoning_3month_sp+mp,seasoning_3month_sp+mp.1,seasoning_3month_sp+mp.2,seasoning_3month_sp+mp.3
104,ceef953c-8820-4889-8c94-cae97d9619ba,0,0.17612603,0.8080634,0.015810637
105,728a3b51-4530-4964-b871-95190dd1453e,1,0.8460854,0.13938115,0.014533436
106,92de206f-f4b0-440b-a538-8e93d9bb8c87,0,0.41554466,0.5602032,0.024252148
107,445f8d3d-da68-4b5e-b469-83193111a455,1,0.86717635,0.119471244,0.013352341
108,445f8d3d-da68-4b5e-b469-83193111a455,1,0.86717635,0.119471244,0.013352341
109,18babdef-66db-4829-a0eb-99a413848e81,1,0.7934242,0.1898462,0.01672969
110,69903ddc-97e6-4e66-bc15-b04da45995eb,1,0.8668864,0.11957681,0.01353686
111,69903ddc-97e6-4e66-bc15-b04da45995eb,1,0.8673923,0.11912289,0.013484847
112,703f961a-a766-469b-ba36-9d4c05504f54,0,0.25963068,0.7203064,0.020062922
113,b541e79f-1948-41e9-a5cb-dbbd039587aa,1,0.7536969,0.22794189,0.01836122
114,4f5f1793-d028-4809-8b67-32423a07a406,0,0.3016738,0.67959934,0.018726872
115,69903ddc-97e6-4e66-bc15-b04da45995eb,1,0.86688244,0.11962785,0.0134897465
116,9e20439b-6c32-41f3-8cbc-6fc6c95c01bd,0,0.17647186,0.8071914,0.016336719
117,69903ddc-97e6-4e66-bc15-b04da45995eb,1,0.86757773,0.11893457,0.013487704
118,8fe4dade-6a64-4d77-8368-09427373d248,0,0.158629,0.8216777,0.019693304
119,728a3b51-4530-4964-b871-95190dd1453e,1,0.8459677,0.139455,0.014577271
120,18babdef-66db-4829-a0eb-99a413848e81,1,0.7953541,0.18801297,0.016632877
121,174d4c90-63d1-4c3d-a7d9-cb4b9072d764,0,0.2752397,0.70647484,0.01828544
122,b12e12bb-653e-4388-8375-0a695d21001a,0,0.294983,0.6846033,0.020413704
123,b541e79f-1948-41e9-a5cb-dbbd039587aa,1,0.7543051,0.22735423,0.018340696
124,728a3b51-4530-4964-b871-95190dd1453e,1,0.8458701,0.13956697,0.014563023
125,11ab6abe-a409-4689-b6e5-29a75da1da8c,0,0.23641863,0.74403787,0.019543542
